Похибка апроксимації |f(x) - φ(x)| для m = 1..4
       x |        m=1 |        m=2 |        m=3 |        m=4
   7.085 |    13.3568 |    12.8209 |    11.5009 |     7.2764
   7.133 |    13.2953 |    12.7446 |    11.4244 |     7.3425
   7.181 |    13.2339 |    12.6685 |    11.3483 |     7.4100
   7.229 |    13.1725 |    12.5924 |    11.2727 |     7.4789
   7.277 |    13.1111 |    12.5165 |    11.1975 |     7.5491
   7.325 |    13.0497 |    12.4408 |    11.1228 |     7.6205
   7.373 |    12.9883 |    12.3651 |    11.0484 |     7.6932
   7.421 |    12.9268 |    12.2896 |    10.9746 |     7.7669
   7.469 |    12.8654 |    12.2143 |    10.9011 |     7.8418
   7.517 |    12.8040 |    12.1390 |    10.8281 |     7.9176
   7.565 |    12.7426 |    12.0639 |    10.7555 |     7.9944
   7.612 |    12.6812 |    11.9889 |    10.6834 |     8.0721
   7.660 |    12.6198 |    11.9141 |    10.6116 |     8.1506
   7.708 |    12.5583 |    11.8394 |    10.5403 |     8.2299
   7.756 |    12.4969 |    11.7648 |    10.4694 |     8.3099
   7.804 |    12.4355 |    11.6904 |    10.3989 |     8.3906
   7.852 |    12.3741 |    11.6160 |    10.3289 |     8.4719
   7.900 |    12.3127 |    11.5419 |    10.2592 |     8.5537
   7.948 |    12.2513 |    11.4678 |    10.1899 |     8.6360
   7.996 |    12.1898 |    11.3939 |    10.1210 |     8.7187
   8.044 |    11.9534 |    11.1451 |     9.8776 |     8.6269
   8.092 |    11.7003 |    10.8798 |     9.6178 |     8.5187
   8.140 |    11.4473 |    10.6146 |     9.3585 |     8.4107
   8.187 |    11.1942 |    10.3495 |     9.0995 |     8.3030
   8.235 |    10.9411 |    10.0846 |     8.8410 |     8.1955
   8.283 |    10.6880 |     9.8198 |     8.5828 |     8.0881
   8.331 |    10.4349 |     9.5552 |     8.3250 |     7.9808
   8.379 |    10.1818 |     9.2906 |     8.0676 |     7.8735
   8.427 |     9.9288 |     9.0262 |     7.8105 |     7.7661
   8.475 |     9.6757 |     8.7620 |     7.5539 |     7.6587
   8.523 |     9.4226 |     8.4979 |     7.2976 |     7.5511
   8.571 |     9.1695 |     8.2339 |     7.0416 |     7.4434
   8.619 |     8.9164 |     7.9700 |     6.7861 |     7.3355
   8.667 |     8.6633 |     7.7063 |     6.5309 |     7.2272
   8.715 |     8.4103 |     7.4427 |     6.2760 |     7.1187
   8.762 |     8.1572 |     7.1792 |     6.0215 |     7.0098
   8.810 |     7.9041 |     6.9159 |     5.7674 |     6.9005
   8.858 |     7.6510 |     6.6527 |     5.5136 |     6.7907
